"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash+_contingency","moi_0.100000_iter_8","nonzero",519062,568,601,18195,0.968025111725899,0.969727655492192,0.963381052017212
"fishash_refit0","moi_0.100000_iter_9","full",3980940,769,169,18122,0.990760483297797,0.959292784924038,0.581248998641968
"fishash_refit0","moi_0.100000_iter_9","nonzero",498073,597,169,18122,0.990760483297797,0.968107270687537,0.581248998641968
"fishash_refit10","moi_0.100000_iter_9","full",3981055,759,54,18132,0.997030682942923,0.959822137525806,2.03488206863403
"fishash_refit10","moi_0.100000_iter_9","nonzero",498188,587,54,18132,0.997030682942923,0.968641487258935,2.03488206863403
"fishash+_poisson","moi_0.100000_iter_9","full",3980577,713,532,18178,0.97156600748263,0.962257159493939,0.315240859985352
"fishash+_poisson","moi_0.100000_iter_9","nonzero",497710,541,532,18178,0.97156600748263,0.971098883487366,0.315240859985352
"fishash_poisson_rawd","moi_0.100000_iter_9","full",3981063,770,46,18121,0.99746793636814,0.959239849663861,0.458518981933594
"fishash_poisson_rawd","moi_0.100000_iter_9","nonzero",498196,598,46,18121,0.99746793636814,0.968053849030397,0.458518981933594
"fishash+_contingency","moi_0.100000_iter_9","full",3980559,714,550,18177,0.970630640252042,0.962204224233762,0.753039121627808
"fishash+_contingency","moi_0.100000_iter_9","nonzero",497692,542,550,18177,0.970630640252042,0.971045461830226,0.753039121627808
"fishash_refit0","moi_0.100000_iter_10","full",3980971,804,178,18047,0.990233196159122,0.957349742719219,0.62834620475769
"fishash_refit0","moi_0.100000_iter_10","nonzero",482253,620,178,18047,0.990233196159122,0.966786307387368,0.62834620475769
"fishash_refit10","moi_0.100000_iter_10","full",3981068,798,81,18053,0.995533252453954,0.957668028221314,1.80822587013245
"fishash_refit10","moi_0.100000_iter_10","nonzero",482350,614,81,18053,0.995533252453954,0.967107730219103,1.80822587013245
"fishash+_poisson","moi_0.100000_iter_10","full",3980527,744,622,18107,0.966789470874046,0.960532597740173,0.312624931335449
"fishash+_poisson","moi_0.100000_iter_10","nonzero",481809,560,622,18107,0.966789470874046,0.97000053570472,0.312624931335449
"fishash_poisson_rawd","moi_0.100000_iter_10","full",3981076,807,73,18044,0.995970635314898,0.957190599968171,0.189640045166016
"fishash_poisson_rawd","moi_0.100000_iter_10","nonzero",482358,623,73,18044,0.995970635314898,0.9666255959715,0.189640045166016
"fishash+_contingency","moi_0.100000_iter_10","full",3980482,751,667,18100,0.964458890605851,0.960161264654395,1.26127600669861
