"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","nguides_20_iter_8","full",378210,1982,1232,18576,0.937802907915994,0.903589843369978,0.148063898086548
"fishash_refit0","nguides_20_iter_8","nonzero",206306,1896,1232,18576,0.937802907915994,0.907385697538101,0.148063898086548
"fishash_refit10","nguides_20_iter_8","full",379367,2162,75,18396,0.995939580964756,0.894834127833447,1.01270508766174
"fishash_refit10","nguides_20_iter_8","nonzero",207463,2076,75,18396,0.995939580964756,0.898593200468933,1.01270508766174
"fishash+_poisson","nguides_20_iter_8","full",378382,1540,1060,19018,0.947205897001693,0.92508998929857,0.265560150146484
"fishash+_poisson","nguides_20_iter_8","nonzero",206478,1454,1060,19018,0.947205897001693,0.928976162563501,0.265560150146484
"fishash_poisson_rawd","nguides_20_iter_8","full",379395,2289,47,18269,0.997433937540948,0.888656484093783,0.191371917724609
"fishash_poisson_rawd","nguides_20_iter_8","nonzero",207491,2203,47,18269,0.997433937540948,0.892389605314576,0.191371917724609
"fishash+_contingency","nguides_20_iter_8","full",378272,1545,1170,19013,0.942030421641976,0.924846774978111,0.458874940872192
"fishash+_contingency","nguides_20_iter_8","nonzero",206368,1459,1170,19013,0.942030421641976,0.928731926533802,0.458874940872192
"fishash_refit0","nguides_20_iter_9","full",379236,2325,385,18054,0.979120342751776,0.885911968202561,0.127772092819214
"fishash_refit0","nguides_20_iter_9","nonzero",151980,2228,385,18054,0.979120342751776,0.890148900502909,0.127772092819214
"fishash_refit10","nguides_20_iter_9","full",379549,2317,72,18062,0.996029557736848,0.886304529172187,1.04232597351074
"fishash_refit10","nguides_20_iter_9","nonzero",152293,2220,72,18062,0.996029557736848,0.890543338921211,1.04232597351074
"fishash+_poisson","nguides_20_iter_9","full",378957,1766,664,18613,0.965554806245785,0.91334216595515,0.186535120010376
"fishash+_poisson","nguides_20_iter_9","nonzero",151701,1669,664,18613,0.965554806245785,0.917710284981757,0.186535120010376
"fishash_poisson_rawd","nguides_20_iter_9","full",379559,2645,62,17734,0.996516071027197,0.870209529417538,0.192259073257446
"fishash_poisson_rawd","nguides_20_iter_9","nonzero",152303,2548,62,17734,0.996516071027197,0.874371363770831,0.192259073257446
"fishash+_contingency","nguides_20_iter_9","full",378887,1571,734,18808,0.962439873093849,0.922910839589774,0.340860843658447
"fishash+_contingency","nguides_20_iter_9","nonzero",151631,1474,734,18808,0.962439873093849,0.927324721427867,0.340860843658447
"fishash_refit0","nguides_20_iter_10","full",378166,1700,1253,18881,0.937766961358895,0.917399543268063,0.141452074050903
"fishash_refit0","nguides_20_iter_10","nonzero",188409,1598,1253,18881,0.937766961358895,0.921968846135065,0.141452074050903
"fishash_refit10","nguides_20_iter_10","full",379350,1703,69,18878,0.996358262521771,0.917253777756183,0.992000102996826
"fishash_refit10","nguides_20_iter_10","nonzero",189593,1601,69,18878,0.996358262521771,0.921822354607159,0.992000102996826
"fishash+_poisson","nguides_20_iter_10","full",378577,1146,842,19435,0.958475119593628,0.944317574461882,0.303817987442017
"fishash+_poisson","nguides_20_iter_10","nonzero",188820,1044,842,19435,0.958475119593628,0.949020948288491,0.303817987442017
"fishash_poisson_rawd","nguides_20_iter_10","full",379370,1808,49,18773,0.997396663478908,0.912151984840387,0.179594039916992
"fishash_poisson_rawd","nguides_20_iter_10","nonzero",189613,1706,49,18773,0.997396663478908,0.916695151130426,0.179594039916992
"fishash+_contingency","nguides_20_iter_10","full",378511,1164,908,19417,0.955325953259533,0.943442981390603,0.509356021881104
"fishash+_contingency","nguides_20_iter_10","nonzero",188754,1062,908,19417,0.955325953259533,0.948141999121051,0.509356021881104
"fishash_refit0","nguides_200_iter_1","full",3979076,1041,169,19714,0.991500276618217,0.94984341122621,0.495537996292114
"fishash_refit0","nguides_200_iter_1","nonzero",513888,846,169,19714,0.991500276618217,0.958852140077821,0.495537996292114
"fishash_refit10","nguides_200_iter_1","full",3979186,1010,59,19745,0.997020803878004,0.951337027222356,0.728460788726807
"fishash_refit10","nguides_200_iter_1","nonzero",513998,815,59,19745,0.997020803878004,0.960359922178988,0.728460788726807
"fishash+_poisson","nguides_200_iter_1","full",3978749,876,496,19879,0.975656441717791,0.957793302818598,0.359828948974609
"fishash+_poisson","nguides_200_iter_1","nonzero",513561,681,496,19879,0.975656441717791,0.966877431906615,0.359828948974609
"fishash_poisson_rawd","nguides_200_iter_1","full",3979190,1027,55,19728,0.997219835212051,0.950517947482534,0.273350954055786
"fishash_poisson_rawd","nguides_200_iter_1","nonzero",514002,832,55,19728,0.997219835212051,0.959533073929961,0.273350954055786
"fishash+_contingency","nguides_200_iter_1","full",3978722,882,523,19873,0.974357717199451,0.957504215851602,0.613914012908936
"fishash+_contingency","nguides_200_iter_1","nonzero",513534,687,523,19873,0.974357717199451,0.96658560311284,0.613914012908936
"fishash_refit0","nguides_200_iter_2","full",3978996,1061,180,19763,0.990974276688562,0.949049174029965,0.48258113861084
"fishash_refit0","nguides_200_iter_2","nonzero",528932,867,180,19763,0.990974276688562,0.957973824527387,0.48258113861084
"fishash_refit10","nguides_200_iter_2","full",3979108,1081,68,19743,0.996567563474837,0.948088743757203,1.06110000610352
"fishash_refit10","nguides_200_iter_2","nonzero",529044,887,68,19743,0.996567563474837,0.957004362578769,1.06110000610352
"fishash+_poisson","nguides_200_iter_2","full",3978625,904,551,19920,0.973083874749646,0.956588551671149,0.34119701385498
"fishash+_poisson","nguides_200_iter_2","nonzero",528561,710,551,19920,0.973083874749646,0.965584100824043,0.34119701385498
"fishash_poisson_rawd","nguides_200_iter_2","full",3979114,1096,62,19728,0.996867104598282,0.947368421052632,0.279510974884033
"fishash_poisson_rawd","nguides_200_iter_2","nonzero",529050,902,62,19728,0.996867104598282,0.956277266117305,0.279510974884033
"fishash+_contingency","nguides_200_iter_2","full",3978592,901,584,19923,0.971521919344614,0.956732616212063,0.624104022979736
"fishash+_contingency","nguides_200_iter_2","nonzero",528528,707,584,19923,0.971521919344614,0.965729520116335,0.624104022979736
"fishash_refit0","nguides_200_iter_3","full",3979041,1063,187,19709,0.990601125854443,0.948825341806278,0.476197004318237
"fishash_refit0","nguides_200_iter_3","nonzero",520592,853,187,19709,0.990601125854443,0.958515708588659,0.476197004318237
"fishash_refit10","nguides_200_iter_3","full",3979166,1063,62,19709,0.996864093874867,0.948825341806278,1.02376198768616
"fishash_refit10","nguides_200_iter_3","nonzero",520717,853,62,19709,0.996864093874867,0.958515708588659,1.02376198768616
"fishash+_poisson","nguides_200_iter_3","full",3978641,906,587,19866,0.971300053781841,0.956383593298671,0.340214014053345
"fishash+_poisson","nguides_200_iter_3","nonzero",520192,696,587,19866,0.971300053781841,0.966151152611614,0.340214014053345
"fishash_poisson_rawd","nguides_200_iter_3","full",3979169,1078,59,19694,0.997013111932365,0.948103215867514,0.277534961700439
"fishash_poisson_rawd","nguides_200_iter_3","nonzero",520720,868,59,19694,0.997013111932365,0.957786207567357,0.277534961700439
"fishash+_contingency","nguides_200_iter_3","full",3978624,905,604,19867,0.970494846368033,0.956431735027922,0.777724027633667
"fishash+_contingency","nguides_200_iter_3","nonzero",520175,695,604,19867,0.970494846368033,0.966199786013034,0.777724027633667
"fishash_refit0","nguides_200_iter_4","full",3979158,1122,126,19594,0.993610547667343,0.945838965051168,0.486011981964111
"fishash_refit0","nguides_200_iter_4","nonzero",542877,889,126,19594,0.993610547667343,0.956598154567202,0.486011981964111
"fishash_refit10","nguides_200_iter_4","full",3979213,1105,71,19611,0.996392643024083,0.946659586792817,1.05801105499268
"fishash_refit10","nguides_200_iter_4","nonzero",542932,872,71,19611,0.996392643024083,0.957428111116536,1.05801105499268
"fishash+_poisson","nguides_200_iter_4","full",3978714,960,570,19756,0.971957099281708,0.953659007530411,0.343939065933228
"fishash+_poisson","nguides_200_iter_4","nonzero",542433,727,570,19756,0.971957099281708,0.964507152272616,0.343939065933228
"fishash_poisson_rawd","nguides_200_iter_4","full",3979222,1113,62,19603,0.996847190439868,0.946273411855571,0.314671993255615
"fishash_poisson_rawd","nguides_200_iter_4","nonzero",542941,880,62,19603,0.996847190439868,0.957037543328614,0.314671993255615
"fishash+_contingency","nguides_200_iter_4","full",3978694,962,590,19754,0.970998820290995,0.9535624637961,0.674175024032593
"fishash+_contingency","nguides_200_iter_4","nonzero",542413,729,590,19754,0.970998820290995,0.964409510325636,0.674175024032593
"fishash_refit0","nguides_200_iter_5","full",3979022,1074,134,19770,0.99326768488746,0.948474381116868,0.482444047927856
"fishash_refit0","nguides_200_iter_5","nonzero",533259,873,134,19770,0.99326768488746,0.957709635227438,0.482444047927856
"fishash_refit10","nguides_200_iter_5","full",3979086,1025,70,19819,0.996480466589572,0.950825177509115,0.74793004989624
"fishash_refit10","nguides_200_iter_5","nonzero",533323,824,70,19819,0.996480466589572,0.96008332122269,0.74793004989624
"fishash+_poisson","nguides_200_iter_5","full",3978650,878,506,19966,0.975283313794451,0.957877566685857,0.367010116577148
"fishash+_poisson","nguides_200_iter_5","nonzero",532887,677,506,19966,0.975283313794451,0.967204379208448,0.367010116577148
"fishash_poisson_rawd","nguides_200_iter_5","full",3979094,1038,62,19806,0.996879404066841,0.950201496833621,0.226961851119995
"fishash_poisson_rawd","nguides_200_iter_5","nonzero",533331,837,62,19806,0.996879404066841,0.959453567795379,0.226961851119995
"fishash+_contingency","nguides_200_iter_5","full",3978631,882,525,19962,0.974373993264021,0.957685664939551,0.684440851211548
"fishash+_contingency","nguides_200_iter_5","nonzero",532868,681,525,19962,0.974373993264021,0.967010608923122,0.684440851211548
"fishash_refit0","nguides_200_iter_6","full",3979137,1057,149,19657,0.992477027163486,0.94897170995462,0.480507135391235
"fishash_refit0","nguides_200_iter_6","nonzero",541419,852,149,19657,0.992477027163486,0.958457262665171,0.480507135391235
"fishash_refit10","nguides_200_iter_6","full",3979219,1000,67,19714,0.996612911379607,0.95172347204789,1.11378407478333
"fishash_refit10","nguides_200_iter_6","nonzero",541501,795,67,19714,0.996612911379607,0.961236530303769,1.11378407478333
"fishash+_poisson","nguides_200_iter_6","full",3978716,888,570,19826,0.9720533437929,0.957130443178527,0.358245849609375
"fishash+_poisson","nguides_200_iter_6","nonzero",540998,683,570,19826,0.9720533437929,0.966697547418207,0.358245849609375
"fishash_poisson_rawd","nguides_200_iter_6","full",3979227,1010,59,19704,0.997014623285938,0.951240706768369,0.279922962188721
"fishash_poisson_rawd","nguides_200_iter_6","nonzero",541509,805,59,19704,0.997014623285938,0.96074893948998,0.279922962188721
"fishash+_contingency","nguides_200_iter_6","full",3978689,885,597,19829,0.970772544795848,0.957275272762383,0.648910999298096
"fishash+_contingency","nguides_200_iter_6","nonzero",540971,680,597,19829,0.970772544795848,0.966843824662343,0.648910999298096
"fishash_refit0","nguides_200_iter_7","full",3979012,1039,142,19807,0.992881848714221,0.950158303751319,0.479459047317505
"fishash_refit0","nguides_200_iter_7","nonzero",534158,847,142,19807,0.992881848714221,0.958990994480488,0.479459047317505
"fishash_refit10","nguides_200_iter_7","full",3979078,1029,76,19817,0.996179560649475,0.95063801208865,1.06161904335022
"fishash_refit10","nguides_200_iter_7","nonzero",534224,837,76,19817,0.996179560649475,0.959475162196185,1.06161904335022
"fishash+_poisson","nguides_200_iter_7","full",3978600,859,554,19987,0.973029550654788,0.958793053823275,0.3541100025177
"fishash+_poisson","nguides_200_iter_7","nonzero",533746,667,554,19987,0.973029550654788,0.967706013363029,0.3541100025177
"fishash_poisson_rawd","nguides_200_iter_7","full",3979087,1042,67,19804,0.996628252226863,0.95001439125012,0.34700608253479
"fishash_poisson_rawd","nguides_200_iter_7","nonzero",534233,850,67,19804,0.996628252226863,0.958845744165779,0.34700608253479
"fishash+_contingency","nguides_200_iter_7","full",3978578,859,576,19987,0.971988523075427,0.958793053823275,0.671386957168579
"fishash+_contingency","nguides_200_iter_7","nonzero",533724,667,576,19987,0.971988523075427,0.967706013363029,0.671386957168579
"fishash_refit0","nguides_200_iter_8","full",3978904,1057,243,19796,0.98787364638954,0.949311849613964,0.497003078460693
"fishash_refit0","nguides_200_iter_8","nonzero",487603,830,243,19796,0.98787364638954,0.959759526810821,0.497003078460693
"fishash_refit10","nguides_200_iter_8","full",3979080,1011,67,19842,0.996634687829625,0.951517767227737,0.999243021011353
"fishash_refit10","nguides_200_iter_8","nonzero",487779,784,67,19842,0.996634687829625,0.961989721710462,0.999243021011353
"fishash+_poisson","nguides_200_iter_8","full",3978679,839,468,20014,0.977150668879992,0.959765980914017,0.308028936386108
"fishash+_poisson","nguides_200_iter_8","nonzero",487378,612,468,20014,0.977150668879992,0.970328711335208,0.308028936386108
"fishash_poisson_rawd","nguides_200_iter_8","full",3979086,1031,61,19822,0.996932052507167,0.950558672613053,0.377084970474243
"fishash_poisson_rawd","nguides_200_iter_8","nonzero",487785,804,61,19822,0.996932052507167,0.961020071754097,0.377084970474243
"fishash+_contingency","nguides_200_iter_8","full",3978659,845,488,20008,0.976190476190476,0.959478252529612,0.57338809967041
"fishash+_contingency","nguides_200_iter_8","nonzero",487358,618,488,20008,0.976190476190476,0.970037816348298,0.57338809967041
"fishash_refit0","nguides_200_iter_9","full",3979133,1125,148,19594,0.9925032924729,0.945702012645398,0.488115072250366
