"method","moi","mu","th","jaccard","precision","recall"
"geomux","highMOI",150,"th15",0.894081350368968,0.997259595260273,0.896308725048586
"geomux","highMOI",500,"th015",0.610665594416794,0.999267598343685,0.610939806753878
"geomux","highMOI",500,"th05",0.780723460392047,0.999863387978142,0.780801475549277
"geomux","highMOI",500,"th15",0.957569269505618,0.999888888888889,0.957667718927227
"geomux","lowMOI",5,"th015",0.265300088829133,0.7267379685341,0.295484026125847
"geomux","lowMOI",5,"th05",0.213672188841974,0.780936610242323,0.227283296922713
"geomux","lowMOI",5,"th15",0.156891371624456,0.758499305002567,0.165228925349295
"geomux","lowMOI",15,"th015",0.386664265044525,0.873305317938663,0.409585608913
"geomux","lowMOI",15,"th05",0.40272214553973,0.91957323284375,0.417481431892869
"geomux","lowMOI",15,"th15",0.446151047278519,0.93911039513979,0.459490553517136
"geomux","lowMOI",50,"th015",0.50781951851893,0.964902359741757,0.517273870966942
"geomux","lowMOI",50,"th05",0.583418743128392,0.975399949397576,0.591948269606297
"geomux","lowMOI",50,"th15",0.728662543518162,0.986981699422761,0.735696449270791
"geomux","lowMOI",150,"th015",0.564795357278642,0.993004053850513,0.567059268830595
"geomux","lowMOI",150,"th05",0.697433325791646,0.996423491073593,0.699200198253978
"geomux","lowMOI",150,"th15",0.876490259452652,0.996519646605687,0.879207046636601
"geomux","lowMOI",500,"th015",0.607788631842939,0.99947157637112,0.607973137001331
"geomux","lowMOI",500,"th05",0.780114175164909,0.999874371859297,0.780196978778158
"geomux","lowMOI",500,"th15",0.944237346488327,0.999653562200074,0.944543703591434
"geomux_nolor","highMOI",5,"th015",0.314780255612738,0.413248914821005,0.569332730794379
"geomux_nolor","highMOI",5,"th05",0.379489571806664,0.521915400274524,0.582765985118276
"geomux_nolor","highMOI",5,"th15",0.43572458916483,0.595436341112936,0.619313163090732
"geomux_nolor","highMOI",15,"th015",0.412793782419577,0.536954717205152,0.641313631730272
"geomux_nolor","highMOI",15,"th05",0.529524441152323,0.670213724430709,0.716495146436826
"geomux_nolor","highMOI",15,"th15",0.634408756066263,0.726852896828653,0.833067239446077
"geomux_nolor","highMOI",50,"th015",0.531342532604339,0.714979190833189,0.675357071215325
"geomux_nolor","highMOI",50,"th05",0.681883964975649,0.824134152864884,0.798182455413956
"geomux_nolor","highMOI",50,"th15",0.800929921255878,0.851553211747538,0.930895415098668
"geomux_nolor","highMOI",150,"th015",0.632231010642159,0.882730740606872,0.690413626520373
"geomux_nolor","highMOI",150,"th05",0.780748216051927,0.92649503809694,0.832455720739271
