"dataset","fishash","fishashplus","cleanser"
"barnyard_lrb100_0hr",102,27.4331619934767,27
"barnyard_lrb100_0hr",249,6.81028743839868,6
"barnyard_lrb100_0hr",266,4.15962005602516,4
"barnyard_lrb100_0hr",48,6.11225481166701,6
"barnyard_lrb100_0hr",186,18.2302372374501,17
"barnyard_lrb100_0hr",302,15.1635708944741,14
"barnyard_lrb100_0hr",185,17.7388732892234,14
"barnyard_lrb100_0hr",1279,8.20772786874456,7
"barnyard_lrb100_0hr",36,11.2400702217736,11
"barnyard_lrb100_0hr",169,7.22974822350902,7
"barnyard_lrb100_0hr",25,9.07360928537952,9
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",169,12.4273060930799,12
"barnyard_lrb100_0hr",286,3.14897327357849,3
"barnyard_lrb100_0hr",52,12.0849720980241,12
"barnyard_lrb100_0hr",154,9.41367289980659,9
"barnyard_lrb100_0hr",217,7.3345414612589,7
"barnyard_lrb100_0hr",1,1,1
"barnyard_lrb100_0hr",76,1.04948772357858,1
"barnyard_lrb100_0hr",79,9.14219120880523,9
"barnyard_lrb100_0hr",122,16.2366322254491,13
"barnyard_lrb100_0hr",278,6.79475221964323,6
"barnyard_lrb100_0hr",126,10.1395952266728,9
"barnyard_lrb100_0hr",8,3.01521998007387,3
"barnyard_lrb100_0hr",16,9.0317080877116,9
"barnyard_lrb100_0hr",59,7.32689736442671,7
"barnyard_lrb100_0hr",290,13.5362949856918,13
"barnyard_lrb100_0hr",8,8,8
"barnyard_lrb100_0hr",71,11.3798387535765,11
"barnyard_lrb100_0hr",30,0,0
"barnyard_lrb100_0hr",1,1,1
"barnyard_lrb100_0hr",24,4.04000549314208,6
"barnyard_lrb100_0hr",57,10.203840291374,10
"barnyard_lrb100_0hr",36,11.0925455156863,11
"barnyard_lrb100_0hr",114,21.1191595045243,20
"barnyard_lrb100_0hr",414,15.4494514870197,14
"barnyard_lrb100_0hr",67,5.12761306327377,5
"barnyard_lrb100_0hr",41,7.07892137736627,7
"barnyard_lrb100_0hr",49,13.308975386059,13
"barnyard_lrb100_0hr",37,11.3445828910347,11
"barnyard_lrb100_0hr",35,14.1221781181354,14
"barnyard_lrb100_0hr",315,16.4888634034281,15
"barnyard_lrb100_0hr",8,4.0223086826068,8
"barnyard_lrb100_0hr",45,6.07036790317833,6
"barnyard_lrb100_0hr",14,1.01503405598128,7
"barnyard_lrb100_0hr",83,6.31473588332384,6
"barnyard_lrb100_0hr",231,5.39889468942185,5
"barnyard_lrb100_0hr",58,4.10288901137621,4
"barnyard_lrb100_0hr",20,1.01971910425328,1
"barnyard_lrb100_0hr",7,7,7
"barnyard_lrb100_0hr",179,24.4756497282143,24
"barnyard_lrb100_0hr",13,8.02116938022975,8
"barnyard_lrb100_0hr",37,5.0602390483802,5
"barnyard_lrb100_0hr",13,3.01623142965637,3
"barnyard_lrb100_0hr",95,16.4114151913292,16
"barnyard_lrb100_0hr",416,16.50783107083,12
"barnyard_lrb100_0hr",76,7.20803464882245,7
"barnyard_lrb100_0hr",46,14.26844417618,14
"barnyard_lrb100_0hr",32,10.1649027557682,10
"barnyard_lrb100_0hr",39,10.5114781693078,10
"barnyard_lrb100_0hr",32,4.15650395440809,4
"barnyard_lrb100_0hr",15,9.0332062535375,9
"barnyard_lrb100_0hr",58,9.22388640463122,9
"barnyard_lrb100_0hr",119,3.14885464470401,3
"barnyard_lrb100_0hr",34,6.17782912900307,6
"barnyard_lrb100_0hr",26,8.0869920572225,8
"barnyard_lrb100_0hr",39,2.02605466228961,2
"barnyard_lrb100_0hr",120,6.29375143340496,6
"barnyard_lrb100_0hr",88,4.17553605848267,4
"barnyard_lrb100_0hr",64,13.4626578151927,13
"barnyard_lrb100_0hr",8,0,0
"barnyard_lrb100_0hr",69,7.22313603542578,9
"barnyard_lrb100_0hr",83,9.43782580053869,9
"barnyard_lrb100_0hr",103,8.32171944194704,8
"barnyard_lrb100_0hr",51,10.2203640630433,10
"barnyard_lrb100_0hr",91,9.36016105870885,9
"barnyard_lrb100_0hr",53,8.22115242013541,8
"barnyard_lrb100_0hr",77,18.529891155674,18
"barnyard_lrb100_0hr",84,18.2953991659708,18
"barnyard_lrb100_0hr",45,6.06782391641215,6
"barnyard_lrb100_0hr",128,9.78715371078223,9
"barnyard_lrb100_0hr",78,5.2100802053041,7
"barnyard_lrb100_0hr",261,15.7308106157977,15
"barnyard_lrb100_0hr",192,12.8504508860625,12
"barnyard_lrb100_0hr",24,13.0379423694602,13
"barnyard_lrb100_0hr",195,3.18482308992398,3
"barnyard_lrb100_0hr",189,5.70981896486006,5
"barnyard_lrb100_0hr",16,6.04275531033274,6
"barnyard_lrb100_0hr",43,1.02061510337063,1
"barnyard_lrb100_0hr",79,13.3245370917217,13
"barnyard_lrb100_0hr",29,13.214906322684,13
"barnyard_lrb100_0hr",192,8.44223926876376,8
"barnyard_lrb100_0hr",89,16.8110646134534,16
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",98,6.13721767688312,6
"barnyard_lrb100_0hr",47,9.11981814677292,9
"barnyard_lrb100_0hr",59,11.2963416716504,11
"barnyard_lrb100_0hr",90,6.23967864580824,6
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",50,1.01714833342958,1
"barnyard_lrb100_0hr",16,8.05898270668828,8
"barnyard_lrb100_0hr",87,14.4184069499502,14
"barnyard_lrb100_0hr",1528,31.8554219853944,20
"barnyard_lrb100_0hr",149,16.897706310222,16
"barnyard_lrb100_0hr",8,8,8
"barnyard_lrb100_0hr",115,9.16795799215145,9
"barnyard_lrb100_0hr",13,4.0296535848909,6
"barnyard_lrb100_0hr",102,2.05739852281778,2
"barnyard_lrb100_0hr",84,17.8705167044415,17
"barnyard_lrb100_0hr",11,11,11
"barnyard_lrb100_0hr",1397,11.5244109765054,10
"barnyard_lrb100_0hr",52,4.10933621527651,6
"barnyard_lrb100_0hr",32,18.1674265538318,18
"barnyard_lrb100_0hr",58,9.05945101804783,9
"barnyard_lrb100_0hr",32,3.03281352239758,3
"barnyard_lrb100_0hr",87,6.12823196621189,6
"barnyard_lrb100_0hr",79,5.25557463501276,5
"barnyard_lrb100_0hr",43,7.10660114745445,7
"barnyard_lrb100_0hr",47,9.15238430807049,9
"barnyard_lrb100_0hr",47,1.0189599292296,1
"barnyard_lrb100_0hr",505,17.1144463680009,16
"barnyard_lrb100_0hr",10,4.05756261149785,4
"barnyard_lrb100_0hr",161,5.4702933641652,5
"barnyard_lrb100_0hr",92,6.17005175082085,6
"barnyard_lrb100_0hr",44,11.1244297708419,11
