"dataset","ceil_fishash","ceil_fishashplus"
"barnyard_lrb100_72hr",11,4
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",10,2
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",13,3
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",4,1
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",7,2
