"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash+_contingency","moi_0.100000_iter_7","nonzero",281720,3127,335,14313,0.977129983615511,0.820699541284404,0.778450012207031
"fishash_refit0","moi_0.100000_iter_8","full",3980950,4500,114,14436,0.992164948453608,0.762357414448669,0.178144931793213
"fishash_refit0","moi_0.100000_iter_8","nonzero",270062,3050,114,14436,0.992164948453608,0.825574745510694,0.178144931793213
"fishash_refit10","moi_0.100000_iter_8","full",3980940,4489,124,14447,0.991489945782719,0.762938318546684,1.93481206893921
"fishash_refit10","moi_0.100000_iter_8","nonzero",270052,3039,124,14447,0.991489945782719,0.826203820199016,1.93481206893921
"fishash+_poisson","moi_0.100000_iter_8","full",3980698,4492,366,14444,0.975286968264686,0.762779890156316,0.170248031616211
"fishash+_poisson","moi_0.100000_iter_8","nonzero",269810,3042,366,14444,0.975286968264686,0.826032254374929,0.170248031616211
"fishash_poisson_rawd","moi_0.100000_iter_8","full",3980953,4588,111,14348,0.992323120547756,0.757710181664554,0.173820018768311
"fishash_poisson_rawd","moi_0.100000_iter_8","nonzero",270065,3138,111,14348,0.992323120547756,0.820542148004118,0.173820018768311
"fishash+_contingency","moi_0.100000_iter_8","full",3980657,4440,407,14496,0.972690062403543,0.76552598225602,0.565943002700806
"fishash+_contingency","moi_0.100000_iter_8","nonzero",269769,2990,407,14496,0.972690062403543,0.829006061992451,0.565943002700806
"fishash_refit0","moi_0.100000_iter_9","full",3981091,4282,91,14536,0.993778628563615,0.772451907747901,0.170016050338745
"fishash_refit0","moi_0.100000_iter_9","nonzero",267917,2893,91,14536,0.993778628563615,0.834012278386597,0.170016050338745
"fishash_refit10","moi_0.100000_iter_9","full",3981079,4276,103,14542,0.992966882895186,0.772770751408226,1.34574604034424
"fishash_refit10","moi_0.100000_iter_9","nonzero",267905,2887,103,14542,0.992966882895186,0.834356532216421,1.34574604034424
"fishash+_poisson","moi_0.100000_iter_9","full",3980904,4284,278,14534,0.981231433972455,0.772345626527792,0.172491073608398
"fishash+_poisson","moi_0.100000_iter_9","nonzero",267730,2895,278,14534,0.981231433972455,0.833897527109989,0.172491073608398
"fishash_poisson_rawd","moi_0.100000_iter_9","full",3981093,4390,89,14428,0.993869256733485,0.766712721862047,0.214138031005859
"fishash_poisson_rawd","moi_0.100000_iter_9","nonzero",267919,3001,89,14428,0.993869256733485,0.827815709449768,0.214138031005859
"fishash+_contingency","moi_0.100000_iter_9","full",3980869,4220,313,14598,0.979008785460398,0.775746625571262,0.478408098220825
"fishash+_contingency","moi_0.100000_iter_9","nonzero",267695,2831,313,14598,0.979008785460398,0.837569567961444,0.478408098220825
"fishash_refit0","moi_0.100000_iter_10","full",3980972,4449,111,14468,0.992386309074696,0.764814716921288,0.173138856887817
"fishash_refit0","moi_0.100000_iter_10","nonzero",273495,3046,111,14468,0.992386309074696,0.826081991549617,0.173138856887817
"fishash_refit10","moi_0.100000_iter_10","full",3980977,4463,106,14454,0.99271978021978,0.764074641856531,1.50679397583008
"fishash_refit10","moi_0.100000_iter_10","nonzero",273500,3060,106,14454,0.99271978021978,0.825282631038027,1.50679397583008
"fishash+_poisson","moi_0.100000_iter_10","full",3980732,4429,351,14488,0.976346114967316,0.765871967013797,0.205769062042236
"fishash+_poisson","moi_0.100000_iter_10","nonzero",273255,3026,351,14488,0.976346114967316,0.827223935137604,0.205769062042236
"fishash_poisson_rawd","moi_0.100000_iter_10","full",3980987,4549,96,14368,0.993362831858407,0.759528466458741,0.217504978179932
"fishash_poisson_rawd","moi_0.100000_iter_10","nonzero",273510,3146,96,14368,0.993362831858407,0.820372273609684,0.217504978179932
"fishash+_contingency","moi_0.100000_iter_10","full",3980707,4393,376,14524,0.974765100671141,0.767775017180314,0.611743927001953
"fishash+_contingency","moi_0.100000_iter_10","nonzero",273230,2990,376,14524,0.974765100671141,0.82927943359598,0.611743927001953
"fishash_refit0","moi_0.300000_iter_1","full",3979128,5726,109,15037,0.992803380430477,0.724220969994702,0.170192956924438
"fishash_refit0","moi_0.300000_iter_1","nonzero",280927,3883,109,15037,0.992803380430477,0.794767441860465,0.170192956924438
"fishash_refit10","moi_0.300000_iter_1","full",3979117,5733,120,15030,0.992079207920792,0.723883831816212,1.51124310493469
"fishash_refit10","moi_0.300000_iter_1","nonzero",280916,3890,120,15030,0.992079207920792,0.794397463002114,1.51124310493469
"fishash+_poisson","moi_0.300000_iter_1","full",3978911,5611,326,15152,0.978937847267089,0.729759668641333,0.211751937866211
"fishash+_poisson","moi_0.300000_iter_1","nonzero",280710,3768,326,15152,0.978937847267089,0.800845665961945,0.211751937866211
"fishash_poisson_rawd","moi_0.300000_iter_1","full",3979133,5847,104,14916,0.993075898801598,0.718393295766508,0.17021918296814
"fishash_poisson_rawd","moi_0.300000_iter_1","nonzero",280932,4004,104,14916,0.993075898801598,0.788372093023256,0.17021918296814
"fishash+_contingency","moi_0.300000_iter_1","full",3978890,5575,347,15188,0.977663340843257,0.731493522130713,0.548553943634033
"fishash+_contingency","moi_0.300000_iter_1","nonzero",280689,3732,347,15188,0.977663340843257,0.802748414376321,0.548553943634033
"fishash_refit0","moi_0.300000_iter_2","full",3979161,5366,98,15375,0.993666386608932,0.741285376789933,0.182276010513306
"fishash_refit0","moi_0.300000_iter_2","nonzero",275497,3633,98,15375,0.993666386608932,0.80886994949495,0.182276010513306
"fishash_refit10","moi_0.300000_iter_2","full",3979155,5344,104,15397,0.993290755435133,0.742346077816884,1.41403412818909
"fishash_refit10","moi_0.300000_iter_2","nonzero",275491,3611,104,15397,0.993290755435133,0.810027356902357,1.41403412818909
"fishash+_poisson","moi_0.300000_iter_2","full",3978977,5222,282,15519,0.982153028289349,0.748228147148161,0.215935945510864
"fishash+_poisson","moi_0.300000_iter_2","nonzero",275313,3489,282,15519,0.982153028289349,0.816445707070707,0.215935945510864
"fishash_poisson_rawd","moi_0.300000_iter_2","full",3979168,5435,91,15306,0.994089757745015,0.737958632659949,0.171509981155396
"fishash_poisson_rawd","moi_0.300000_iter_2","nonzero",275504,3702,91,15306,0.994089757745015,0.805239898989899,0.171509981155396
"fishash+_contingency","moi_0.300000_iter_2","full",3978940,5166,319,15575,0.979929533157166,0.750928113398583,0.417593002319336
"fishash+_contingency","moi_0.300000_iter_2","nonzero",275276,3433,319,15575,0.979929533157166,0.819391835016835,0.417593002319336
"fishash_refit0","moi_0.300000_iter_3","full",3979138,5865,96,14901,0.993598719743949,0.71756717711644,0.179174900054932
"fishash_refit0","moi_0.300000_iter_3","nonzero",286249,3967,96,14901,0.993598719743949,0.789749841000636,0.179174900054932
"fishash_refit10","moi_0.300000_iter_3","full",3979120,5842,114,14924,0.992419204681474,0.718674756814023,1.45217299461365
"fishash_refit10","moi_0.300000_iter_3","nonzero",286231,3944,114,14924,0.992419204681474,0.790968836124656,1.45217299461365
"fishash+_poisson","moi_0.300000_iter_3","full",3978918,5732,316,15034,0.979413680781759,0.723971877106809,0.217469215393066
"fishash+_poisson","moi_0.300000_iter_3","nonzero",286029,3834,316,15034,0.979413680781759,0.796798812804749,0.217469215393066
"fishash_poisson_rawd","moi_0.300000_iter_3","full",3979129,5944,105,14822,0.992965766731426,0.713762881633439,0.176269054412842
"fishash_poisson_rawd","moi_0.300000_iter_3","nonzero",286240,4046,105,14822,0.992965766731426,0.785562857748569,0.176269054412842
"fishash+_contingency","moi_0.300000_iter_3","full",3978894,5679,340,15087,0.9779607182213,0.726524125975152,0.86749005317688
"fishash+_contingency","moi_0.300000_iter_3","nonzero",286005,3781,340,15087,0.9779607182213,0.799607801568794,0.86749005317688
"fishash_refit0","moi_0.300000_iter_4","full",3979090,5897,78,14935,0.994804502764271,0.716925883256528,0.182050943374634
"fishash_refit0","moi_0.300000_iter_4","nonzero",278132,4046,78,14935,0.994804502764271,0.786839471049997,0.182050943374634
"fishash_refit10","moi_0.300000_iter_4","full",3979079,5884,89,14948,0.994081266210015,0.717549923195084,1.44391298294067
"fishash_refit10","moi_0.300000_iter_4","nonzero",278121,4033,89,14948,0.994081266210015,0.787524366471735,1.44391298294067
"fishash+_poisson","moi_0.300000_iter_4","full",3978891,5769,277,15063,0.981942633637549,0.723070276497696,0.164630889892578
"fishash+_poisson","moi_0.300000_iter_4","nonzero",277933,3918,277,15063,0.981942633637549,0.793583056740952,0.164630889892578
"fishash_poisson_rawd","moi_0.300000_iter_4","full",3979090,5995,78,14837,0.994770365403956,0.71222158218126,0.174520969390869
"fishash_poisson_rawd","moi_0.300000_iter_4","nonzero",278132,4144,78,14837,0.994770365403956,0.781676413255361,0.174520969390869
"fishash+_contingency","moi_0.300000_iter_4","full",3978859,5717,309,15115,0.979966286307054,0.72556643625192,0.64855694770813
"fishash+_contingency","moi_0.300000_iter_4","nonzero",277901,3866,309,15115,0.979966286307054,0.796322638427902,0.64855694770813
"fishash_refit0","moi_0.300000_iter_5","full",3979257,5424,80,15239,0.994777727005679,0.737501814838116,0.174823045730591
"fishash_refit0","moi_0.300000_iter_5","nonzero",275961,3677,80,15239,0.994777727005679,0.805614294776908,0.174823045730591
"fishash_refit10","moi_0.300000_iter_5","full",3979233,5425,104,15238,0.99322122278712,0.737453419155011,1.45240592956543
"fishash_refit10","moi_0.300000_iter_5","nonzero",275937,3678,104,15238,0.99322122278712,0.805561429477691,1.45240592956543
"fishash+_poisson","moi_0.300000_iter_5","full",3979041,5294,296,15369,0.981104372805618,0.743793253641775,0.168597936630249
"fishash+_poisson","moi_0.300000_iter_5","nonzero",275745,3547,296,15369,0.981104372805618,0.812486783675196,0.168597936630249
"fishash_poisson_rawd","moi_0.300000_iter_5","full",3979250,5527,87,15136,0.994284963542009,0.732517059478294,0.172936916351318
"fishash_poisson_rawd","moi_0.300000_iter_5","nonzero",275954,3780,87,15136,0.994284963542009,0.800169168957496,0.172936916351318
"fishash+_contingency","moi_0.300000_iter_5","full",3979012,5254,325,15409,0.97934409558917,0.745729080965978,0.361891984939575
"fishash+_contingency","moi_0.300000_iter_5","nonzero",275716,3507,325,15409,0.97934409558917,0.814601395643899,0.361891984939575
"fishash_refit0","moi_0.300000_iter_6","full",3978867,5495,101,15537,0.993541373577184,0.738731456827691,0.176590919494629
"fishash_refit0","moi_0.300000_iter_6","nonzero",277096,3663,101,15537,0.993541373577184,0.80921875,0.176590919494629
"fishash_refit10","moi_0.300000_iter_6","full",3978861,5428,107,15604,0.993189485074152,0.741917078737162,1.56147885322571
"fishash_refit10","moi_0.300000_iter_6","nonzero",277090,3596,107,15604,0.993189485074152,0.812708333333333,1.56147885322571
"fishash+_poisson","moi_0.300000_iter_6","full",3978678,5323,290,15709,0.981873867116695,0.746909471281856,0.171560049057007
"fishash+_poisson","moi_0.300000_iter_6","nonzero",276907,3491,290,15709,0.981873867116695,0.818177083333333,0.171560049057007
"fishash_poisson_rawd","moi_0.300000_iter_6","full",3978872,5516,96,15516,0.993850883935434,0.737732978318752,0.169992923736572
"fishash_poisson_rawd","moi_0.300000_iter_6","nonzero",277101,3684,96,15516,0.993850883935434,0.808125,0.169992923736572
"fishash+_contingency","moi_0.300000_iter_6","full",3978644,5262,324,15770,0.979868273890891,0.749809813617345,0.669274806976318
"fishash+_contingency","moi_0.300000_iter_6","nonzero",276873,3430,324,15770,0.979868273890891,0.821354166666667,0.669274806976318
"fishash_refit0","moi_0.300000_iter_7","full",3979066,5563,108,15263,0.99297378179689,0.732881974455008,0.16112494468689
"fishash_refit0","moi_0.300000_iter_7","nonzero",269860,3767,108,15263,0.99297378179689,0.802049395691014,0.16112494468689
"fishash_refit10","moi_0.300000_iter_7","full",3979066,5539,108,15287,0.99298473530367,0.734034380101796,0.821235179901123
"fishash_refit10","moi_0.300000_iter_7","nonzero",269860,3743,108,15287,0.99298473530367,0.8033105622701,0.821235179901123
"fishash+_poisson","moi_0.300000_iter_7","full",3978861,5451,313,15375,0.980048444671086,0.738259867473351,0.624966144561768
"fishash+_poisson","moi_0.300000_iter_7","nonzero",269655,3655,313,15375,0.980048444671086,0.807934839726747,0.624966144561768
"fishash_poisson_rawd","moi_0.300000_iter_7","full",3979074,5660,100,15166,0.993449495611162,0.728224334965908,0.124566078186035
"fishash_poisson_rawd","moi_0.300000_iter_7","nonzero",269868,3864,100,15166,0.993449495611162,0.79695218076721,0.124566078186035
"fishash+_contingency","moi_0.300000_iter_7","full",3978830,5367,344,15459,0.978231981269379,0.742293287237107,0.425575017929077
