"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_9","nonzero",197380,1505,350,18958,0.981872798839859,0.926452621805209,0.522903919219971
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_10","full",379216,2170,71,18543,0.996185666702482,0.895234876647516,0.201298952102661
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_10","nonzero",227133,2088,71,18543,0.996185666702482,0.898793078377199,0.201298952102661
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_10","full",379213,2167,74,18546,0.996025778732546,0.895379713223579,1.63759088516235
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_10","nonzero",227130,2085,74,18546,0.996025778732546,0.89893849062091,1.63759088516235
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_10","full",379046,1684,241,19029,0.987493513233005,0.918698401969777,0.364894866943359
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_10","nonzero",226963,1602,241,19029,0.987493513233005,0.922349861858368,0.364894866943359
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_10","full",379236,2289,51,18424,0.99723951285521,0.88948969246367,0.1667799949646
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_10","nonzero",227153,2207,51,18424,0.99723951285521,0.893025059376666,0.1667799949646
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_10","full",378956,1598,331,19115,0.982978504576777,0.922850383816927,0.346985101699829
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_10","nonzero",226873,1516,331,19115,0.982978504576777,0.926518346178081,0.346985101699829
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_11","full",379343,1863,58,18736,0.996913908694264,0.909558716442546,0.197555065155029
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_11","nonzero",206664,1798,58,18736,0.996913908694264,0.912437907860134,0.197555065155029
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_11","full",379341,1872,60,18727,0.996806302230266,0.909121802029225,1.61059594154358
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_11","nonzero",206662,1807,60,18727,0.996806302230266,0.91199961040226,1.61059594154358
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_11","full",379200,1364,201,19235,0.989658365918913,0.933783193358901,0.151120901107788
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_11","nonzero",206521,1299,201,19235,0.989658365918913,0.936739066913412,0.151120901107788
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_11","full",379362,1948,39,18651,0.997913322632424,0.905432302538958,0.152894973754883
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_11","nonzero",206683,1883,39,18651,0.997913322632424,0.908298431869095,0.152894973754883
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_11","full",379102,1299,299,19300,0.984744119597939,0.936938686343997,0.535104990005493
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_11","nonzero",206423,1234,299,19300,0.984744119597939,0.939904548553618,0.535104990005493
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_12","full",379427,1923,49,18601,0.997372654155496,0.906304813876437,0.187628030776978
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_12","nonzero",192257,1859,49,18601,0.997372654155496,0.909139784946237,0.187628030776978
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_12","full",379424,1942,52,18582,0.99720940216808,0.905379068407718,2.1101291179657
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_12","nonzero",192254,1878,52,18582,0.99720940216808,0.908211143695015,2.1101291179657
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_12","full",379233,1427,243,19097,0.987435367114788,0.93047164295459,0.187430858612061
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_12","nonzero",192063,1363,243,19097,0.987435367114788,0.933382209188661,0.187430858612061
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_12","full",379436,2043,40,18481,0.99784028940122,0.900458000389788,0.361905097961426
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_12","nonzero",192266,1979,40,18481,0.99784028940122,0.90327468230694,0.361905097961426
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_12","full",379152,1336,324,19188,0.98339483394834,0.934905476515299,0.245643854141235
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_12","nonzero",191982,1272,324,19188,0.98339483394834,0.93782991202346,0.245643854141235
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_13","full",379398,1912,47,18643,0.997485286249331,0.906981269764048,0.187841892242432
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_13","nonzero",184863,1843,47,18643,0.997485286249331,0.910036122229815,0.187841892242432
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_13","full",379389,1918,56,18637,0.997004226180923,0.906689369982973,1.57483291625977
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_13","nonzero",184854,1849,56,18637,0.997004226180923,0.909743239285366,1.57483291625977
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_13","full",379237,1407,208,19148,0.989253978094648,0.931549501337874,0.142656087875366
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_13","nonzero",184702,1338,208,19148,0.989253978094648,0.934687103387679,0.142656087875366
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_13","full",379407,2030,38,18525,0.997952917093142,0.90124057406957,0.143959999084473
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_13","nonzero",184872,1961,38,18525,0.997952917093142,0.904276090988968,0.143959999084473
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_13","full",379150,1310,295,19245,0.984902763561924,0.936268547798589,0.253077030181885
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_13","nonzero",184615,1241,295,19245,0.984902763561924,0.939422044322952,0.253077030181885
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_14","full",379520,2420,66,17994,0.996345514950166,0.881453904183404,0.229506015777588
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_14","nonzero",166005,2352,66,17994,0.996345514950166,0.884399882040696,0.229506015777588
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_14","full",379521,2460,65,17954,0.996392696598035,0.879494464583129,1.85930991172791
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_14","nonzero",166006,2392,65,17954,0.996392696598035,0.882433893640028,1.85930991172791
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_14","full",379357,1865,229,18549,0.98780487804878,0.90864112863721,0.136600971221924
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_14","nonzero",165842,1797,229,18549,0.98780487804878,0.91167797109997,0.136600971221924
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_14","full",379535,2672,51,17742,0.997133704265722,0.869109434701675,0.168159961700439
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_14","nonzero",166020,2604,51,17742,0.997133704265722,0.872014155116485,0.168159961700439
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_14","full",379300,1714,286,18700,0.984936268829664,0.916038013128245,0.570127010345459
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_14","nonzero",165785,1646,286,18700,0.984936268829664,0.919099577312494,0.570127010345459
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_15","full",379437,2203,52,18308,0.997167755991285,0.892594217736824,0.212254047393799
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_15","nonzero",153833,2123,52,18308,0.997167755991285,0.896089276100044,0.212254047393799
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_15","full",379432,2253,57,18258,0.996887796887797,0.890156501389498,1.48556399345398
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_15","nonzero",153828,2173,57,18258,0.996887796887797,0.893642014585679,1.48556399345398
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_15","full",379251,1666,238,18845,0.987528166430855,0.918775291307104,0.178217887878418
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_15","nonzero",153647,1586,238,18845,0.987528166430855,0.922372864764329,0.178217887878418
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_15","full",379443,2451,46,18060,0.99745940572186,0.880503144654088,0.164190053939819
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_15","nonzero",153839,2371,46,18060,0.99745940572186,0.883950858988792,0.164190053939819
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_15","full",379221,1498,268,19013,0.986100306000726,0.926966018234118,0.442739009857178
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_15","nonzero",153617,1418,268,19013,0.986100306000726,0.930595663452597,0.442739009857178
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_16","full",379395,2074,61,18470,0.996708218660623,0.899045950155763,0.187444925308228
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_16","nonzero",211372,1982,61,18470,0.996708218660623,0.903090162331312,0.187444925308228
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_16","full",379389,2125,67,18419,0.996375635616142,0.896563473520249,1.61008715629578
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_16","nonzero",211366,2033,67,18419,0.996375635616142,0.90059651867788,1.61008715629578
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_16","full",379212,1621,244,18923,0.987269786612407,0.921096183800623,0.371887922286987
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_16","nonzero",211189,1529,244,18923,0.987269786612407,0.925239585370624,0.371887922286987
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_16","full",379415,2228,41,18316,0.99776651958381,0.89154984423676,0.152292966842651
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_16","nonzero",211392,2136,41,18316,0.99776651958381,0.895560336397418,0.152292966842651
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_16","full",379134,1536,322,19008,0.983341955509571,0.925233644859813,0.572177886962891
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_16","nonzero",211111,1444,322,19008,0.983341955509571,0.929395658126345,0.572177886962891
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_17","full",379324,2041,52,18583,0.997209551918433,0.901037626066718,0.167524099349976
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_17","nonzero",197978,1973,52,18583,0.997209551918433,0.9040182914964,0.167524099349976
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_17","full",379328,2081,48,18543,0.997418105534936,0.899098138091544,1.42379808425903
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_17","nonzero",197982,2013,48,18543,0.997418105534936,0.902072387624051,1.42379808425903
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_17","full",379169,1517,207,19107,0.98928238583411,0.926444918541505,0.201416015625
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_17","nonzero",197823,1449,207,19107,0.98928238583411,0.929509632224168,0.201416015625
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_17","full",379341,2190,35,18434,0.998104932589745,0.893813033359193,0.171559810638428
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_17","nonzero",197995,2122,35,18434,0.998104932589745,0.896769799571901,0.171559810638428
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_17","full",379069,1422,307,19202,0.984263673176483,0.931051202482545,0.803339958190918
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_17","nonzero",197723,1354,307,19202,0.984263673176483,0.934131153920996,0.803339958190918
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_18","full",379387,2094,45,18474,0.997570063178357,0.898191365227538,0.205087184906006
