"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true","model_chem"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"thresh20",0.106884735629438,1,0.106884735629438,0,0.105859411273099,1140,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"ambient",0.70855471173917,0.932781355816228,0.760261263860102,0.0376244928070823,0.726808431609249,8133,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"otsu",0.725115643289401,0.943647094870957,0.779016404830143,0.0651660101294316,0.771287956170489,8885,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"valley",0.541434234354366,0.997880785738652,0.542709424419924,0.0020979020979021,0.530039929427059,5720,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"fishash",0.579491151613663,0.997690886699507,0.581218701195864,0.000686224052153028,0.540904447952456,5829,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"depth_fix",0.700300298833787,0.993954474168991,0.704489017540834,0.00228065468204991,0.690593369857926,7454,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"sceptre",0.612078103293783,0.997738328060651,0.613249850724784,0.00142157637024167,0.587055436902219,6331,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"thresh3",0.838872915736085,0.996228956228956,0.840835065974098,0.000963855421686747,0.841656516443362,2075,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"thresh10",0.559910068186427,1,0.559910068186427,0,0.558668290702395,1376,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"thresh20",0.356139237755934,1,0.356139237755934,0,0.346325619163622,853,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"ambient",0.641485806368813,0.697720351669991,0.921192353027135,0.298516882297255,0.902557856272838,3169,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"otsu",0.661941928719854,0.836555102960626,0.823623056322453,0.412537313432836,0.799025578562728,3350,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"valley",0.702923457232723,0.99826226179319,0.70441806257935,0.00173711638679792,0.69995939910678,1727,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"fishash",0.808369057299327,0.991895226477895,0.813331754141993,0.00347912524850895,0.814047909053999,2012,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"depth_fix",0.849207121095164,0.989184378851252,0.856488879866735,0.00564705882352941,0.857896873731222,2125,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"low",1,"sceptre",0.809193230342707,0.993490558263286,0.81426685631884,0.0045135406218656,0.805927730410069,1994,2463,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"thresh3",0.842937661159719,0.99990990990991,0.842999382627568,9.46163307786924e-05,0.843281200127673,10569,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"thresh10",0.53100105513481,1,0.53100105513481,0,0.52768911586339,6613,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"thresh20",0.331421397034559,1,0.331421397034559,0,0.327002872646026,4098,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"ambient",0.812898583932928,0.969404148190645,0.83744409030682,0.0142536366298936,0.805697414618576,10243,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"otsu",0.78378679400891,0.990662251655629,0.79312454235328,0.0140648379052369,0.788700925630386,10025,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"valley",0.731773589571052,0.999002747845646,0.732604656045798,0.00156119900083264,0.765480370252154,9608,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"fishash",0.735863735342112,0.999549643438448,0.736146656121203,0.000351000351000351,0.681774656878391,8547,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"depth_fix",0.861321187725723,0.997223356781284,0.863480477970877,0.00185459940652819,0.858921161825726,10784,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"high",5,"sceptre",0.741645745665605,0.998912803811652,0.74243244048064,0.00079078174423859,0.705793169486116,8852,12532,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"thresh3",0.946881254540215,0.999044444444444,0.947806040865002,0.000785237534354142,0.94050258684405,2547,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"thresh10",0.783125094461118,1,0.783125094461118,0,0.779009608277901,2108,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"thresh20",0.636265690191575,1,0.636265690191575,0,0.626016260162602,1694,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"ambient",0.679388170315499,0.707122831634811,0.961972613530692,0.276493799323563,0.948632668144863,3548,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"otsu",0.829474827680772,0.971356215213358,0.858118612467414,0.11676875957121,0.852549889135255,2612,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"valley",0.848239428511067,0.998322368421053,0.849843530678249,0.00130605137135394,0.847745750184775,2297,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"fishash",0.92232292240576,0.997213269917217,0.924782016771185,0.00242620299231702,0.911677753141168,2473,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"depth_fix",0.946782631261841,0.991455831808149,0.954702608040462,0.00734157650695518,0.949371766444937,2588,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"low",1,"sceptre",0.889640779500943,0.969837065335353,0.918242174296784,0.0461117624071903,0.902069475240207,2559,2706,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"thresh3",0.938824550931789,0.999769626769627,0.939041258548496,0.000158390749980201,0.937894658643489,12627,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"thresh10",0.780697224254912,1,0.780697224254912,0,0.779585469133051,10494,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"thresh20",0.627887618898983,1,0.627887618898983,0,0.627145085803432,8442,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"ambient",0.88093266145155,0.990675277196136,0.889302888434024,0.00470045295273908,0.865166035212837,11701,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"otsu",0.854631785683891,1,0.854631785683891,0,0.852759824678701,11479,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"valley",0.889961674111458,0.999589017747654,0.890344859036483,0.000411421048300831,0.902458955501077,12153,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"fishash",0.861438033729965,0.999717412935323,0.861685028041513,0.000184246890833717,0.806255107347151,10855,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"depth_fix",0.944996371796032,0.995876190234491,0.948772316733326,0.0022704141548579,0.946735012257633,12773,13461,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"high",5,"sceptre",0.817830795140628,0.99983606557377,0.817951519486705,9.47687642153146e-05,0.78381992422554,10552,13461,"A CROP-seq"
"A","A__mix72hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"low",1,"thresh3",0.669770402838535,0.984088248390604,0.677030081738124,0.0130671506352087,0.68043043043043,2755,3996,"A CROP-seq"
"A","A__mix72hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"low",1,"thresh10",0.274397688023501,0.99959595959596,0.274437648063461,0.000914913083257091,0.273273273273273,1093,3996,"A CROP-seq"
"A","A__mix72hr_Cropseq__pur90__muweak__moilow","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"low",1,"thresh20",0.0974444520254914,1,0.0974444520254914,0,0.0998498498498498,399,3996,"A CROP-seq"
