"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi"
"A","A__mix0hr_DirectCapture__pur99__mustrong__moivhigh","direct-capture","mix0hr_DirectCapture",0.99,"strong",400,"vhigh",15
"A","A__mix72hr_DirectCapture__pur90__muweak__moivhigh","direct-capture","mix72hr_DirectCapture",0.9,"weak",30,"vhigh",15
"A","A__mix72hr_DirectCapture__pur90__mumod__moivhigh","direct-capture","mix72hr_DirectCapture",0.9,"mod",100,"vhigh",15
"A","A__mix72hr_DirectCapture__pur90__mustrong__moivhigh","direct-capture","mix72hr_DirectCapture",0.9,"strong",400,"vhigh",15
"A","A__mix72hr_DirectCapture__pur99__muweak__moivhigh","direct-capture","mix72hr_DirectCapture",0.99,"weak",30,"vhigh",15
"A","A__mix72hr_DirectCapture__pur99__mumod__moivhigh","direct-capture","mix72hr_DirectCapture",0.99,"mod",100,"vhigh",15
"A","A__mix72hr_DirectCapture__pur99__mustrong__moivhigh","direct-capture","mix72hr_DirectCapture",0.99,"strong",400,"vhigh",15
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9
"B","B__regime__ipsc_crispri_hipsci_figshare27989294",NA,"ipsc_crispri_hipsci_figshare27989294",NA,"cal",557,"low",0
"B","B__regime__perturb_multiome_erythroid_GSE274113",NA,"perturb_multiome_erythroid_GSE274113",NA,"cal",26,"low",2.4
"B","B__regime__tcell_cd4_perturbseq_GSE314342",NA,"tcell_cd4_perturbseq_GSE314342",NA,"cal",80,"low",0.1
"B","B__regime__gasperini",NA,"gasperini",NA,"cal",21,"low",0.3
"B","B__regime__replogle",NA,"replogle",NA,"cal",1106,"low",0.1
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8
