"regime","moi","n_guides","guides_per_cell","rep","corr","e2e_fdp","e2e_recall","e2e_nassign","iso_fdp","iso_recall","iso_nassign"
"G20_moi3",3,20,2.5,6,"BH",0.0320056899004267,0.81497005988024,4218,0.0285234899328859,0.808982035928144,4172
"G20_moi3",3,20,2.5,6,"GS",0.00584944048830112,0.780239520958084,3932,0.00584944048830112,0.780239520958084,3932
"G20_moi3",3,20,2.5,6,"BY",0.00105124835742444,0.758682634730539,3805,0.00129836406128278,0.767664670658683,3851
"G20_moi3",3,20,2.5,7,"BH",0.035451197053407,0.837330135891287,4344,0.0290943219145941,0.826938449240608,4262
"G20_moi3",3,20,2.5,7,"GS",0.0090202956652468,0.790367705835332,3991,0.0090202956652468,0.790367705835332,3991
"G20_moi3",3,20,2.5,7,"BY",0.00439163006974942,0.770183852917666,3871,0.00458248472505092,0.781374900079936,3928
"G20_moi3",3,20,2.53,8,"BH",0.0264692687303724,0.8592357948921,4458,0.0239061795218764,0.856860027717284,4434
"G20_moi3",3,20,2.53,8,"GS",0.00523311132254995,0.827954860423678,4204,0.00523311132254995,0.827954860423678,4204
"G20_moi3",3,20,2.53,8,"BY",0.00194694572888781,0.811918431993665,4109,0.00193376843123036,0.817461888734904,4137
"G20_moi3",3,20,2.41,9,"BH",0.0267091399166871,0.822700911350456,4081,0.0227891999009165,0.817108533554267,4037
"G20_moi3",3,20,2.41,9,"GS",0.00605581885202738,0.781897265948633,3798,0.00605581885202738,0.781897265948633,3798
"G20_moi3",3,20,2.41,9,"BY",0.00269614451334592,0.766155758077879,3709,0.00266808964781217,0.774233637116819,3748
"G20_moi3",3,20,2.53,10,"BH",0.0275040110016044,0.837048727559677,4363,0.023600185099491,0.832511343460249,4322
"G20_moi3",3,20,2.53,10,"GS",0.0060916179337232,0.80469520615506,4104,0.0060916179337232,0.80469520615506,4104
"G20_moi3",3,20,2.53,10,"BY",0.00150526843953838,0.785164726770566,3986,0.00273495773247141,0.791280331426317,4022
"G20_moi3",3,20,2.5,11,"BH",0.0271751541447819,0.85080886758538,4379,0.0226432532347505,0.844817255841821,4328
"G20_moi3",3,20,2.5,11,"GS",0.00462737457379445,0.81625723986419,4106,0.00462737457379445,0.81625723986419,4106
"G20_moi3",3,20,2.5,11,"BY",0.00224494886505363,0.798881565807869,4009,0.00247954376394743,0.803475134811264,4033
"G20_moi3",3,20,2.47,12,"BH",0.0249032882011605,0.814912103455243,4136,0.0222439501344415,0.808244089715094,4091
"G20_moi3",3,20,2.47,12,"GS",0.00623376623376623,0.773085471812487,3850,0.00623376623376623,0.773085471812487,3850
"G20_moi3",3,20,2.47,12,"BY",0.0018716577540107,0.754293796726611,3740,0.00263991552270327,0.763386542735906,3788
"G50_moi5",5,50,4.02,1,"BH",0.041038283062645,0.821899080288342,6896,0.0331956329300679,0.814441958737261,6778
"G50_moi5",5,50,4.02,1,"GS",0.0045425048669695,0.762614963957246,6164,0.0045425048669695,0.762614963957246,6164
"G50_moi5",5,50,4.02,1,"BY",0.00454545454545455,0.762117822520507,6160,0.0045425048669695,0.762614963957246,6164
"G50_moi5",5,50,4.04,2,"BH",0.0326249625860521,0.799802029200693,6682,0.0290936785986291,0.788666171739668,6565
"G50_moi5",5,50,4.04,2,"GS",0.00153165418652144,0.72593417470923,5876,0.00153165418652144,0.72593417470923,5876
"G50_moi5",5,50,4.04,2,"BY",0.0015324365741529,0.72556297946053,5873,0.00153191489361702,0.725810442959663,5875
"G50_moi5",5,50,4.06,3,"BH",0.0431581986143187,0.816681039793027,6928,0.0364759523459332,0.807071578169274,6799
"G50_moi5",5,50,4.06,3,"GS",0.00309900505627141,0.75298755697918,6131,0.00309900505627141,0.75298755697918,6131
"G50_moi5",5,50,4.06,3,"BY",0.00342186736190321,0.753480349882962,6137,0.00342298288508557,0.753233953431071,6135
"G50_moi5",5,50,4.09,4,"BH",0.0405973611715238,0.809122034727317,6897,0.0334610849056604,0.801785277573979,6784
"G50_moi5",5,50,4.09,4,"GS",0.00308943089430894,0.749694301785278,6150,0.00308943089430894,0.749694301785278,6150
"G50_moi5",5,50,4.09,4,"BY",0.00309093866926956,0.749327463927611,6147,0.00308993332249146,0.749572022499389,6149
"G50_moi5",5,50,4.11,5,"BH",0.0343822843822844,0.805737904206176,6864,0.0303973902728351,0.794918550936056,6744
"G50_moi5",5,50,4.11,5,"GS",0.00163934426229508,0.740335521517141,6100,0.00163934426229508,0.740335521517141,6100
"G50_moi5",5,50,4.11,5,"BY",0.00212210251387529,0.743131534159981,6126,0.00196078431372549,0.742523705324581,6120
"G50_moi5",5,50,4.13,6,"BH",0.0369786441163824,0.812651185292695,6977,0.0316998691289807,0.805394291243348,6877
"G50_moi5",5,50,4.13,6,"GS",0.00365543547361729,0.758224479922593,6292,0.00365543547361729,0.758224479922593,6292
"G50_moi5",5,50,4.13,6,"BY",0.00365311308767471,0.758708272859216,6296,0.00365311308767471,0.758708272859216,6296
"G50_moi5",5,50,4.18,7,"BH",0.0376404494382022,0.819323209374626,7120,0.0309160849123807,0.813344493602774,7019
"G50_moi5",5,50,4.18,7,"GS",0.00217966682235715,0.766351787636016,6423,0.00217966682235715,0.766351787636016,6423
"G50_moi5",5,50,4.18,7,"BY",0.00263320941759603,0.769939017099127,6456,0.00263729444616817,0.768743273944757,6446
"G50_moi5",5,50,4.08,8,"BH",0.037451507012832,0.791048436541999,6702,0.0310445022174644,0.776946658491723,6539
"G50_moi5",5,50,4.08,8,"GS",0.00238338440585632,0.718577559779277,5874,0.00238338440585632,0.718577559779277,5874
"G50_moi5",5,50,4.08,8,"BY",0.00204743217880908,0.717228694052728,5861,0.00187553282182438,0.717841814837523,5865
"G50_moi5",5,50,4.19,9,"BH",0.0382022471910112,0.8179646440516,7120,0.0314555333142694,0.809125656951744,6994
"G50_moi5",5,50,4.19,9,"GS",0.00345694531741043,0.75752508361204,6364,0.00345694531741043,0.75752508361204,6364
"G50_moi5",5,50,4.19,9,"BY",0.0036010646625959,0.760152890587673,6387,0.0036055808120395,0.759197324414716,6379
"G50_moi5",5,50,4.17,10,"BH",0.0340579710144928,0.798490475619983,6900,0.0294807861542974,0.792739906553253,6818
"G50_moi5",5,50,4.17,10,"GS",0.00305810397553517,0.74206301665269,6213,0.00305810397553517,0.74206301665269,6213
"G50_moi5",5,50,4.17,10,"BY",0.00305859626529298,0.741943213130466,6212,0.00305810397553517,0.74206301665269,6213
"G50_moi5",5,50,4.14,11,"BH",0.0397743708417703,0.802781136638452,6914,0.0336332792447264,0.792140266021765,6779
"G50_moi5",5,50,4.14,11,"GS",0.00227975899690604,0.74087061668682,6141,0.00227975899690604,0.74087061668682,6141
"G50_moi5",5,50,4.14,11,"BY",0.00228013029315961,0.740749697702539,6140,0.00227975899690604,0.74087061668682,6141
"G50_moi5",5,50,4.1,12,"BH",0.0405768415099675,0.82847027225003,7073,0.0341757610568639,0.821145159321206,6964
"G50_moi5",5,50,4.1,12,"GS",0.00158931977113795,0.766939323647906,6292,0.00158931977113795,0.766939323647906,6292
"G50_moi5",5,50,4.1,12,"BY",0.00205696202531646,0.769991454034916,6320,0.0019020446980504,0.768770601880112,6309
