"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"endoc","WSCD2-3","ENSG00000075035",0.033,46,360,0.03,1.266,1.323
"endoc","ZHX3-1","ENSG00000174306",1.606,43,340,0.138,0.574,1.013
"endoc","ZHX3-2","ENSG00000174306",1.599,67,316,0.696,0.858,1.008
"endoc","ZHX3-3","ENSG00000174306",1.609,43,484,0.106,0.787,1.023
"endoc","ZNF257-1","ENSG00000197134",0.001,65,421,0.891,0,1.804
"endoc","ZNF257-2","ENSG00000197134",0.001,274,390,0.536,0.577,1.894
"endoc","ZNF257-3","ENSG00000197134",0.001,119,562,1.302,1.968,1.198
"endoc","ZXDA-1","ENSG00000198205",0.006,52,325,0.121,0.952,1.022
"endoc","ZXDA-2","ENSG00000198205",0.006,169,768,0.068,1.315,0.759
"endoc","ZXDA-3","ENSG00000198205",0.006,46,452,0.079,4.255,1.415
"endoc","ZZEF1-1","ENSG00000074755",0.717,102,403,1.071,1.092,1.039
"endoc","ZZEF1-2","ENSG00000074755",0.728,40,419,0.311,1.371,1.012
"endoc","ZZEF1-3","ENSG00000074755",0.723,111,544,1.078,1.123,1.067
"endoc","ZZEF1-4","ENSG00000074755",0.724,29,316,0.526,0.984,1.036
"endoc","ZZEF1-5","ENSG00000074755",0.725,91,532,0.361,1.011,1.041
"endoc","ZZEF1-6","ENSG00000074755",0.73,53,236,0.152,1.076,1.011
